actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,the chronicles of narnia: prince caspi,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action|Adventure|Family|Fantasy
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,the avenge,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi
Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,pirates of the caribbean: on stranger tid,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action|Adventure|Fantasy
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the battle of the five armi,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,the amazing spider-m,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action|Adventure|Fantasy
Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,robin ho,Mark Addy William Hurt Scott Grimes Ridley Scott Action|Adventure|Drama|History
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the desolation of sma,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,the golden compa,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure|Family|Fantasy
Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,king ko,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action|Adventure|Drama|Romance
Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama|Romance,titan,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama|Romance
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,captain america: civil w,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action|Adventure|Sci-Fi
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,battlesh,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action|Adventure|Sci-Fi|Thriller
Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,jurassic wor,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action|Adventure|Sci-Fi|Thriller
Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,skyfa,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action|Adventure|Thriller
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,spider-man,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Fantasy|Romance
Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,iron man,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action|Adventure|Sci-Fi
Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,alice in wonderla,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure|Family|Fantasy
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last sta,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action|Adventure|Fantasy|Sci-Fi|Thriller
Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,monsters universi,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure|Animation|Comedy|Family|Fantasy
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,transformers: revenge of the fall,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action|Adventure|Sci-Fi
Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,transformers: age of extincti,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action|Adventure|Sci-Fi
Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,oz the great and powerf,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure|Family|Fantasy
Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action|Adventure|Fantasy|Sci-Fi
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,tron: lega,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action|Adventure|Sci-Fi
Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,cars,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure|Animation|Comedy|Family|Sport
Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,green lante,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action|Adventure|Sci-Fi
Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,toy story,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure|Animation|Comedy|Family|Fantasy
Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,terminator salvati,Christian Bale Bryce Dallas Howard Common McG Action|Adventure|Sci-Fi
Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,furious,Jason Statham Paul Walker Vin Diesel James Wan Action|Crime|Thriller
Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,world war,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action|Adventure|Horror|Sci-Fi|Thriller
Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future pa,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action|Adventure|Fantasy|Sci-Fi|Thriller
Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,star trek into darkne,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action|Adventure|Sci-Fi
Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,jack the giant slay,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure|Fantasy
Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,the great gats,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama|Romance
Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,prince of persia: the sands of ti,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action|Adventure|Fantasy|Romance
Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,pacific r,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action|Adventure|Sci-Fi
Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers: dark of the mo,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action|Adventure|Sci-Fi
Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal sku,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action|Adventure|Fantasy
A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,the good dinosa,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure|Animation|Comedy|Family|Fantasy
Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,bra,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure|Animation|Comedy|Family|Fantasy
Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,star trek beyo,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action|Adventure|Sci-Fi|Thriller
John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,wall,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure|Animation|Family|Sci-Fi
Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,rush hour,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action|Comedy|Crime|Thriller
Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,20,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action|Adventure|Sci-Fi
Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,a christmas car,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation|Drama|Family|Fantasy
Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,jupiter ascendi,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action|Adventure|Sci-Fi
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,the legend of tarz,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action|Adventure|Drama|Romance
Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardro",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure|Family|Fantasy
Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,x-men: apocalyp,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action|Adventure|Sci-Fi
Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,the dark knig,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action|Crime|Drama|Thriller
John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure|Animation|Comedy|Family
Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. alie,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action|Adventure|Animation|Comedy|Family|Sci-Fi
Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron m,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action|Adventure|Sci-Fi
Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,hu,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure|Drama|Family|Mystery
Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,wild wild we,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action|Comedy|Sci-Fi|Western
Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emper,Jet Li Brendan Fraser Russell Wong Rob Cohen Action|Adventure|Fantasy|Horror|Thriller
Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,suicide squ,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action|Adventure|Comedy|Sci-Fi
Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,evan almigh,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy|Family|Fantasy
Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,edge of tomorr,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action|Adventure|Sci-Fi
Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,waterwor,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action|Adventure|Sci-Fi|Thriller
Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,g.i. joe: the rise of cob,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action|Adventure|Sci-Fi|Thriller
Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,inside o,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure|Animation|Comedy|Drama|Family|Fantasy
Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,the jungle bo,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure|Drama|Family|Fantasy
Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action|Adventure|Sci-Fi
Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,snow white and the huntsm,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action|Adventure|Drama|Fantasy
Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,malefice,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action|Adventure|Family|Fantasy|Romance
Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,dawn of the planet of the ap,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action|Adventure|Drama|Sci-Fi
Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,the love,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action|Adventure|Romance|Sci-Fi
Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 ron,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action|Adventure|Drama|Fantasy
Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,captain america: the winter soldi,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action|Adventure|Sci-Fi
Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,shrek forever aft,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure|Animation|Comedy|Family|Fantasy
Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,tomorrowla,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action|Adventure|Family|Mystery|Sci-Fi
Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,big hero,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,wreck-it ral,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure|Animation|Comedy|Family|Sci-Fi
Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,the polar expre,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure|Animation|Family|Fantasy
Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action|Adventure|Sci-Fi,independence day: resurgen,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action|Adventure|Sci-Fi
Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure|Animation|Family|Fantasy,how to train your drag,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure|Animation|Family|Fantasy
Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action|Sci-Fi,terminator 3: rise of the machin,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action|Sci-Fi
Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action|Adventure|Sci-Fi,guardians of the gala,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action|Adventure|Sci-Fi
Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure|Drama|Sci-Fi,interstell,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure|Drama|Sci-Fi
Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,incepti,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action|Adventure|Sci-Fi|Thriller
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgen,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action|Adventure|Drama|Horror|Sci-Fi
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: an unexpected journ,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,Action|Crime|Thriller,the fast and the furio,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action|Crime|Thriller
Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama|Fantasy|Romance,the curious case of benjamin butt,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama|Fantasy|Romance
Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action|Adventure|Sci-Fi,x-men: first cla,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action|Adventure|Sci-Fi
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi,the hunger games: mockingjay - part,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure|Sci-Fi
Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action|Adventure|Family|Fantasy,the sorcerer's apprenti,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action|Adventure|Family|Fantasy
Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action|Adventure|Drama|Thriller,poseid,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action|Adventure|Drama|Thriller
Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure|Family|Fantasy,alice through the looking gla,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure|Family|Fantasy
Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,shrek the thi,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure|Animation|Comedy|Family|Fantasy
Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action|Adventure|Fantasy,warcra,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action|Adventure|Fantasy
J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action|Adventure|Sci-Fi,terminator genis,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action|Adventure|Sci-Fi
Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure|Family|Fantasy,the chronicles of narnia: the voyage of the dawn tread,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure|Family|Fantasy
Jennifer Garner,Jaime King,Mako,Michael Bay,Action|Drama|History|Romance|War,pearl harb,Jennifer Garner Jaime King Mako Michael Bay Action|Drama|History|Romance|War
Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transforme,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action|Adventure|Sci-Fi
Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,alexand,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action|Adventure|Biography|Drama|History|Romance|War
Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the order of the phoen,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure|Family|Fantasy|Mystery
Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure|Family|Fantasy|Mystery,harry potter and the goblet of fi,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure|Family|Fantasy|Mystery
Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action|Drama,hanco,Will Smith Charlize Theron Eddie Marsan Peter Berg Action|Drama
Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama|Horror|Sci-Fi,i am lege,Will Smith Alice Braga Willow Smith Francis Lawrence Drama|Horror|Sci-Fi
Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure|Comedy|Family|Fantasy,charlie and the chocolate facto,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure|Comedy|Family|Fantasy
Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation|Comedy|Family|Fantasy,ratatouil,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation|Comedy|Family|Fantasy
Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action|Adventure,batman begi,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action|Adventure
Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action|Adventure|Animation|Comedy|Family,madagascar: escape 2 afri,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action|Adventure|Animation|Comedy|Family
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,night at the museum: battle of the smithsoni,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure|Comedy|Family|Fantasy
Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men origins: wolveri,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action|Adventure|Fantasy|Sci-Fi|Thriller
Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action|Sci-Fi,the matrix revolutio,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action|Sci-Fi
Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,froz,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure|Animation|Comedy|Family|Fantasy|Musical
Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action|Sci-Fi,the matrix reload,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action|Sci-Fi
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,Action|Adventure|Fantasy,thor: the dark wor,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action|Adventure|Fantasy
Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,Action|Adventure|Sci-Fi|Thriller,mad max: fury ro,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action|Adventure|Sci-Fi|Thriller
Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,Mystery|Thriller,angels & demo,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery|Thriller
